Exchange,Token,LotSize,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize
NFO,45754,75,NIFTY,NIFTY13MAR25C27100,2025-03-13,OPTIDX,CE,27100.0,0.05
NFO,45753,75,NIFTY,NIFTY13MAR25P27050,2025-03-13,OPTIDX,PE,27050.0,0.05
NFO,45748,75,NIFTY,NIFTY13MAR25C27050,2025-03-13,OPTIDX,CE,27050.0,0.05
NFO,45747,75,NIFTY,NIFTY13MAR25P27000,2025-03-13,OPTIDX,PE,27000.0,0.05
NFO,45742,75,NIFTY,NIFTY13MAR25C27000,2025-03-13,OPTIDX,CE,27000.0,0.05
NFO,45740,75,NIFTY,NIFTY13MAR25P26950,2025-03-13,OPTIDX,PE,26950.0,0.05
NFO,45736,75,NIFTY,NIFTY13MAR25C26950,2025-03-13,OPTIDX,CE,26950.0,0.05
NFO,45734,75,NIFTY,NIFTY13MAR25P26900,2025-03-13,OPTIDX,PE,26900.0,0.05
NFO,45733,75,NIFTY,NIFTY13MAR25C26900,2025-03-13,OPTIDX,CE,26900.0,0.05
NFO,45732,75,NIFTY,NIFTY13MAR25P26850,2025-03-13,OPTIDX,PE,26850.0,0.05
NFO,45731,75,NIFTY,NIFTY13MAR25C26850,2025-03-13,OPTIDX,CE,26850.0,0.05
NFO,45730,75,NIFTY,NIFTY13MAR25P26800,2025-03-13,OPTIDX,PE,26800.0,0.05
NFO,45729,75,NIFTY,NIFTY13MAR25C26800,2025-03-13,OPTIDX,CE,26800.0,0.05
NFO,45728,75,NIFTY,NIFTY13MAR25P26750,2025-03-13,OPTIDX,PE,26750.0,0.05
NFO,45727,75,NIFTY,NIFTY13MAR25C26750,2025-03-13,OPTIDX,CE,26750.0,0.05
NFO,45726,75,NIFTY,NIFTY13MAR25P26700,2025-03-13,OPTIDX,PE,26700.0,0.05
NFO,45725,75,NIFTY,NIFTY13MAR25C26700,2025-03-13,OPTIDX,CE,26700.0,0.05
NFO,45724,75,NIFTY,NIFTY13MAR25P26650,2025-03-13,OPTIDX,PE,26650.0,0.05
NFO,45723,75,NIFTY,NIFTY13MAR25C26650,2025-03-13,OPTIDX,CE,26650.0,0.05
NFO,45719,75,NIFTY,NIFTY13MAR25P26600,2025-03-13,OPTIDX,PE,26600.0,0.05
NFO,45718,75,NIFTY,NIFTY13MAR25C26600,2025-03-13,OPTIDX,CE,26600.0,0.05
